#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_proselytize_in_china;Proselytize in [offmap_china.GetShortName] China;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_proselytize_in_china_desc;Ask [offmap_china.Ruler.GetTitle] [offmap_china.Ruler.GetDynName] for permission to send [Root.Religion.GetPriestTitle]s into the Middle Kingdom.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_stop_proselytizing_in_china;Stop proselytizing in the [offmap_china.GetName];FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_stop_proselytizing_in_china_desc;Supporting the [Root.Religion.GetPriestTitle]s isn't worth it anymore. We need to call them back.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kcc_missionary_good;Aiding the spread of the [Root.Religion.GetName] faith;;;;;;;;;;;;;x
kcc_missionary_great;Greatly aiding the spread of the [Root.Religion.GetName] faith;;;;;;;;;;;;;x
kcc_missionary_fail;Sightly hindering the spread of the [Root.Religion.GetName] faith;;;;;;;;;;;;;x
kcc_missionary_epic_fail;Greatly hindering the spread of the [Root.Religion.GetName] faith;;;;;;;;;;;;;x
kcc_good_breeding;This option is available because you are of §Yexcellent breeding§!;;;;;;;;;;;;;x
kcc_missionary_overwork;By working themselves to the bone your [Root.Religion.GetPriestTitle]s are sure to win converts, but the resulting exhaustion may have negative effects...;;;;;;;;;;;;;x
kcc_known_as_holy;This option is available because you are §Yrenowned§! for your faith in §Y[Root.Religion.GetHighGodNameCap]§!;;;;;;;;;;;;;x
kcc_lying_crusader;This option is available because you are willing to do §Yanything§!- even lie- in service to §Y[Root.Religion.GetHighGodNameCap]§!;;;;;;;;;;;;;x
kcc_better_command;Your [Root.Religion.GetPriestTitle] relays tactical advice from the commander;;;;;;;;;;;;;x
kcc_asian_courtier;Your [Root.Religion.GetPriestTitle]'s [KCCGetPilgrimCulture] friend joins you at court;;;;;;;;;;;;;x
chinese_missionaries_good;Proselytizing in [offmap_china.GetShortName] China;;;;;;;;;;;;;x
chinese_missionaries_good_desc;This character is sending [Root.Religion.GetPriestTitle]s to preach in [offmap_china.GetShortName] China, and has the support of the Emperor;;;;;;;;;;;;;x
chinese_missionaries_bad;Proselytizing in [offmap_china.GetShortName] China;;;;;;;;;;;;;x
chinese_missionaries_bad_desc;This character is sending [Root.Religion.GetPriestTitle]s to preach in [offmap_china.GetShortName] China against the wishes of the Emperor;;;;;;;;;;;;;x
kcc_happy_china_merchant;[offmap_china.GetShortName] Trade Contacts;;;;;;;;;;;;;x
kcc_happy_china_merchant_desc;[Root.GetTitledFirstName] has forged close ties with merchants from the Middle Kingdom, and is reaping the rewards;;;;;;;;;;;;;x
kcc_angry_china_merchant;Insulted [offmap_china.GetShortName] Merchants;;;;;;;;;;;;;x
kcc_angry_china_merchant_desc;[Root.GetTitledFirstName] is finding it harder to trade in the [offmap_china.GetName] after offending a prominent [offmap_china.Ruler.Culture.GetName] merchant;;;;;;;;;;;;;x
kcc_socialist_good;Workers of the World, Unite!;;;;;;;;;;;;;x
kcc_socialist_good_desc;The emperor was quite impressed by [Root.GetTitledFirstName]'s devotion to Mazdak's ideals;;;;;;;;;;;;;x
kcc_socialist_bad;Workers of the World, Unite!;;;;;;;;;;;;;x
kcc_socialist_bad_desc;[Root.GetTitledFirstName]'s devotion to Mazdak's ideals has strained relations with the [offmap_china.GetName];;;;;;;;;;;;;x
kcc_socialist_horrible;Workers of the World, Unite!;;;;;;;;;;;;;x
kcc_socialist_horrible_desc;The [offmap_china.GetShortName] Emperor is furious at [Root.GetTitledFirstName]'s actions taken in Mazdak's name;;;;;;;;;;;;;x
